ath_gene	osa_gene
AT3G06790	Os03g0581600
AT1G79120	Os03g0668400
AT2G40070	Os01g0141900
AT1G02160	Os04g0665000
AT4G17040	Os01g0271400
AT1G05200	Os06g0680500
AT1G06590	Os12g0626300
AT3G57150	Os07g0636000
AT5G01260	Os05g0446900
AT5G41800	Os05g0586500
AT3G11110	Os01g0830900
AT5G08640	Os02g0767300
AT5G06610	Os03g0167400
AT3G24660	Os08g0564700
AT2G05990	Os08g0327400
AT5G58250	Os03g0331600
AT5G38360	Os04g0381400
AT1G12650	Os09g0525200
AT2G42450	Os09g0571500
AT4G27870	Os06g0103800
AT5G24400	Os09g0529100
AT5G26760	Os05g0134300
AT3G04710	Os05g0103600
AT2G46230	Os06g0158600
AT3G03380	Os02g0712000
AT4G17170	Os02g0586400
AT1G62640	Os04g0643300
AT4G25315	Os09g0516800
AT3G58610	Os01g0652600
AT3G21290	Os03g0187100
AT5G53190	Os05g0214300
AT1G80870	Os08g0275200
AT2G28370	Os03g0206600
AT3G56640	Os03g0163500
AT2G44830	Os04g0546300
AT4G01870	Os07g0638100
AT5G50280	Os05g0294600
AT5G61750	Os11g0537350
AT3G55830	Os06g0705000
AT4G23820	Os02g0256100
AT3G03610	Os03g0322800
AT3G54110	Os11g0707800
AT5G09995	Os06g0225400
AT5G09920	Os02g0116900
AT2G28550	Os05g0121600
AT5G19151	Os05g0532800
AT4G27600	Os10g0573000
AT5G05570	Os07g0693700
AT5G50375	Os11g0302500
AT5G49530	Os08g0268900
AT5G27380	Os12g0528400
AT2G26430	Os01g0377500
AT1G77700	Os04g0689900
AT3G26750	Os02g0130900
AT2G42620	Os06g0154200
AT3G01790	Os08g0162033
AT1G12420	Os08g0118100
AT5G17240	Os07g0471100
AT2G22250	Os01g0871300
AT4G38062	Os03g0691500
AT1G26550	Os09g0411700
AT5G44200	Os02g0612300
AT2G25950	Os01g0559000
AT5G20180	Os03g0811800
AT3G12930	Os09g0493600
AT5G37630	Os06g0256000
AT1G67320	Os07g0406800
AT5G06260	Os12g0157200
AT5G46800	Os10g0573700
AT3G18140	Os03g0681700
AT1G26370	Os06g0192500
AT2G38440	Os03g0298700
AT1G02840	Os03g0344100
AT1G80060	Os02g0188500
AT5G23290	Os10g0488100
AT1G47310	Os03g0765100
AT5G66290	Os03g0727100
AT4G27060	Os07g0520400
AT4G28706	Os08g0566400
AT2G04540	Os02g0196900
AT3G20630	Os01g0177200
AT5G65520	Os02g0204000
AT2G05170	Os04g0382700
AT3G18690	Os02g0539500
AT2G26980	Os11g0134300
AT4G27450	Os04g0679400
AT5G19400	Os08g0305300
AT5G66810	Os10g0382300
AT1G78170	Os03g0191200
AT3G04470	Os02g0810100
AT2G40860	Os01g0541900
AT1G25580	Os06g0267500
AT5G16740	Os11g0298000
AT3G13330	Os06g0301300
AT3G09150	Os01g0949400
AT3G12480	Os05g0494100
AT1G76200	Os05g0122900
AT5G44010	Os02g0814600
AT1G67300	Os02g0274900
AT5G57160	Os04g0606450
AT1G65270	Os11g0264600
AT3G63290	Os10g0208500
AT5G02030	Os01g0848400
AT4G34980	Os03g0242900
AT1G44350	Os06g0691400
AT3G25500	Os01g0897700
AT1G77720	Os03g0704400
AT3G24000	Os10g0444500
AT3G15351	Os07g0485600
AT1G31440	Os03g0266700
AT1G30320	Os04g0620200
AT3G12680	Os01g0616400
AT3G47420	Os04g0555300
AT3G19050	Os12g0590500
AT1G19130	Os08g0455800
AT1G20160	Os09g0482660
AT2G34690	Os03g0784900
AT3G07720	Os09g0249000
AT1G06280	Os01g0242400
AT2G35350	Os02g0690500
AT1G03350	Os01g0273300
AT4G27650	Os04g0659900
AT3G53170	Os03g0115300
AT5G19600	Os01g0719300
AT1G73260	Os04g0526600
AT5G58220	Os03g0390700
AT5G12130	Os05g0121200
AT1G74470	Os02g0744900
AT5G18940	Os07g0647100
AT2G15690	Os04g0174800
AT4G30890	Os07g0661300
AT4G30825	Os09g0423300
AT5G22830	Os03g0684400
AT3G21720	Os07g0529000
AT3G57120	Os02g0819900
AT3G03770	Os07g0166700
AT4G01650	Os01g0971700
AT3G49240	Os11g0433600
AT1G79150	Os06g0498500
AT3G06200	Os03g0320900
AT5G56170	Os02g0721700
AT5G14990	Os04g0521600
AT3G21700	Os07g0522900
AT4G38130	Os06g0583400
AT5G01410	Os07g0100200
AT1G21500	Os09g0517000
AT5G58200	Os06g0182400
AT5G25560	Os01g0719100
AT2G43540	Os04g0495300
AT5G41850	Os05g0214400
AT4G11160	Os09g0515500
AT3G04820	Os05g0509300
AT4G24610	Os02g0760200
AT1G47480	Os09g0462100
AT4G13150	Os02g0187300
AT1G21780	Os08g0103600
AT2G25840	Os01g0743400
AT2G20810	Os04g0636100
AT3G07700	Os09g0250700
AT5G43860	Os10g0419600
AT4G28110	Os07g0558100
AT5G19620	Os02g0196300
AT3G21580	Os05g0400600
AT2G28520	Os01g0834200
AT3G19460	Os04g0670000
AT5G09950	Os01g0589900
AT5G27410	Os03g0359100
AT3G20430	Os01g0559200
AT1G71790	Os03g0381200
AT1G31190	Os02g0169900
AT1G50380	Os06g0730600
AT2G33585	Os08g0512900
AT4G18750	Os01g0205200
AT1G22040	Os10g0363600
AT2G38640	Os05g0484800
AT2G31260	Os03g0248000
AT4G18810	Os02g0234500
AT5G18670	Os07g0667100
AT5G67220	Os06g0712900
AT1G31970	Os07g0301200
AT5G52780	Os10g0533100
AT3G44610	Os11g0150700
AT1G14830	Os03g0713100
AT1G67350	Os03g0685900
AT5G04490	Os04g0670700
AT5G35170	Os08g0288200
AT1G15110	Os05g0554400
AT2G22010	Os07g0626900
AT2G25920	Os05g0156200
AT5G44790	Os02g0172600
AT1G26520	Os07g0598900
AT5G51040	Os11g0528300
AT5G24600	Os02g0292800
AT1G12450	Os07g0467600
AT1G77290	Os04g0435500
AT5G57950	Os09g0420600
AT5G23580	Os12g0169800
AT1G24130	Os06g0238700
AT5G48330	Os02g0197500
AT1G67570	Os08g0128200
AT4G32820	Os03g0685750
AT5G64460	Os04g0102500
AT1G74850	Os03g0824100
AT3G52390	Os07g0158200
AT3G48110	Os06g0103600
AT1G01280	Os08g0131100
AT1G34110	Os06g0589800
AT1G76250	Os02g0119600
AT1G35830	Os09g0370500
AT1G73380	Os10g0489800
AT5G14170	Os04g0382100
AT4G03020	Os05g0144100
AT1G23390	Os09g0292900
AT4G21070	Os05g0512000
AT3G44380	Os08g0558300
AT5G47020	Os04g0182650
AT1G17730	Os06g0643300
AT2G34860	Os08g0463900
AT3G26580	Os03g0428800
AT5G23720	Os01g0311500
AT4G16146	Os12g0433700
AT3G47650	Os06g0332800
AT5G15540	Os07g0110400
AT1G64310	Os01g0545900
AT1G80420	Os06g0144000
AT5G14040	Os04g0448800
AT1G30570	Os04g0619600
AT2G39840	Os02g0820000
AT1G63780	Os08g0155000
AT4G19610	Os04g0611500
AT2G40490	Os03g0337600
AT5G53440	Os01g0655400
AT5G47890	Os04g0310500
AT5G64050	Os02g0121000
AT5G54910	Os07g0517000
AT3G27010	Os01g0924400
AT5G52520	Os07g0165000
AT5G20030	Os02g0204500
AT5G06410	Os12g0456200
AT3G24460	Os01g0179800
AT1G26500	Os07g0599201
AT1G25290	Os09g0454100
AT4G26860	Os01g0950866
AT1G77810	Os02g0566800
AT5G51170	Os02g0651000
AT1G12060	Os02g0719700
AT3G26700	Os05g0371600
AT4G16160	Os03g0305600
AT1G64680	Os08g0114100
AT5G46850	Os12g0596900
AT4G12590	Os09g0497400
AT2G15860	Os03g0737900
AT2G28060	Os09g0364900
AT4G12070	Os02g0717600
AT5G65650	Os07g0607500
AT5G01880	Os11g0116200
AT1G26870	Os08g0436700
AT1G10590	Os05g0100800
AT4G31120	Os02g0139200
AT5G15640	Os03g0754800
AT3G17630	Os05g0276100
AT1G74320	Os05g0535400
AT4G32350	Os02g0159200
AT3G66652	Os03g0308850
AT1G47750	Os03g0302000
AT3G26680	Os04g0401800
AT1G54990	Os11g0544100
AT3G47550	Os11g0600700
AT2G20480	Os09g0446000
AT5G20240	Os01g0883100
AT5G04360	Os04g0164900
AT2G43970	Os11g0248200
AT5G16830	Os01g0254900
AT1G21450	Os01g0881500
AT1G65080	Os06g0171600
AT4G39010	Os09g0530200
AT1G30090	Os07g0153400
AT5G39660	Os07g0685000
AT5G24520	Os02g0682500
AT1G42430	Os03g0133300
AT1G59600	Os01g0593100
AT3G10572	Os06g0702800
AT4G33950	Os03g0610900
AT1G02730	Os12g0555600
AT3G59680	Os01g0393300
AT1G16040	Os03g0129000
AT3G60240	Os07g0555200
AT2G20930	Os09g0541500
AT3G43300	Os07g0564700
AT5G26749	Os01g0252200
AT5G51230	Os09g0306800
AT4G04885	Os08g0187700
AT1G28530	Os02g0109900
AT3G10250	Os02g0137100
AT4G18930	Os05g0517900
AT5G49430	Os03g0306200
AT3G28730	Os01g0184900
AT3G52050	Os03g0227300
AT2G47900	Os07g0667000
AT2G28450	Os04g0105000
AT3G62910	Os11g0657100
AT5G23310	Os06g0143000
AT2G24120	Os06g0652000
AT2G17580	Os03g0131400
AT1G12520	Os04g0573200
AT3G12720	Os07g0497500
AT2G43640	Os04g0623700
AT5G39210	Os01g0763700
AT1G50510	Os08g0504400
AT1G55540	Os07g0685400
AT2G14820	Os03g0609800
AT4G15530	Os05g0405000
AT3G07680	Os08g0532900
AT2G18040	Os04g0118500
AT4G10620	Os09g0364500
AT4G34530	Os02g0705500
AT2G44740	Os10g0563900
AT5G52060	Os09g0524800
AT5G04280	Os03g0681900
AT2G37080	Os05g0122600
AT4G36960	Os01g0945800
AT2G28600	Os12g0147500
AT4G38270	Os06g0727300
AT3G05070	Os06g0730800
AT3G55330	Os08g0347500
AT5G19500	Os07g0662800
AT1G03090	Os12g0605800
AT1G11040	Os01g0875700
AT2G34590	Os12g0616900
AT4G01370	Os08g0157000
AT5G47560	Os09g0484900
AT5G54830	Os09g0557700
AT1G67940	Os06g0695800
AT2G43190	Os05g0472300
AT1G80550	Os04g0643700
AT4G03560	Os01g0678500
AT1G61050	Os04g0529700
AT3G61130	Os09g0531900
AT5G45410	Os07g0159500
AT2G40280	Os05g0472200
AT5G40440	Os06g0473200
AT1G77930	Os07g0626400
AT5G39890	Os01g0185500
AT5G42150	Os04g0244400
AT5G05710	Os01g0856800
AT3G05625	Os01g0343500
AT3G12700	Os05g0557100
AT3G25400	Os04g0515400
AT3G47520	Os01g0829800
AT1G01140	Os03g0126800
AT1G75690	Os03g0244000
AT1G23000	Os01g0125600
AT5G45380	Os10g0580400
AT2G42780	Os08g0169600
AT1G74350	Os06g0634100
AT3G07930	Os09g0101100
AT4G32320	Os08g0522400
AT1G47720	Os03g0633900
AT1G58470	Os07g0124600
AT5G48830	Os02g0515000
AT3G44880	Os03g0146400
AT4G31150	Os06g0663600
AT1G23890	Os08g0414600
AT1G73880	Os06g0282000
AT2G41040	Os06g0646000
AT1G67850	Os02g0297600
AT5G25050	Os06g0186700
AT3G25600	Os05g0577500
AT4G33160	Os03g0399400
AT1G67710	Os01g0904700
AT1G17840	Os10g0494300
AT1G48170	Os12g0182800
AT1G52080	Os05g0185800
AT1G49975	Os03g0731100
AT4G02990	Os05g0404000
AT4G38760	Os10g0154600
AT5G45610	Os02g0128300
AT1G10280	Os08g0110400
AT3G07480	Os09g0514600
AT4G39790	Os05g0172300
AT5G01510	Os01g0141600
AT2G31880	Os06g0288100
AT3G42950	Os09g0439400
AT5G37530	Os06g0251000
AT1G78230	Os03g0190300
AT4G33920	Os12g0580900
AT1G47580	Os03g0767700
AT1G01690	Os03g0106300
AT5G43280	Os01g0925200
AT1G27070	Os03g0686900
AT2G28420	Os07g0657100
AT1G64810	Os04g0615500
AT5G63080	Os01g0546900
AT3G21480	Os05g0147133
AT5G61930	Os07g0600300
ATCG00020	Os04g0473150
AT3G10220	Os04g0692100
AT5G46570	Os10g0571300
AT1G77680	Os02g0754100
AT3G15040	Os01g0862600
AT1G14740	Os03g0239200
AT3G52210	Os02g0780600
AT4G03390	Os02g0176100
AT4G32300	Os06g0494100
AT2G39340	Os05g0462600
AT5G19370	Os07g0687500
AT5G04590	Os05g0503300
AT3G49180	Os07g0408100
AT1G01860	Os02g0122900
AT4G37190	Os03g0240900
AT3G61080	Os03g0117800
AT2G25730	Os01g0593000
AT3G12750	Os04g0613000
AT1G12550	Os04g0107500
AT3G12810	Os02g0689800
AT2G16250	Os03g0724300
AT1G32050	Os04g0597000
AT5G49630	Os07g0134000
AT5G52400	Os02g0824100
AT1G29330	Os05g0529300
AT5G64560	Os03g0742400
AT4G27500	Os09g0346400
AT1G08110	Os05g0295800
AT1G80500	Os02g0613600
AT2G48010	Os01g0384300
AT1G12370	Os10g0167600
AT4G10650	Os10g0572000
AT1G17160	Os01g0665400
AT1G30470	Os05g0592500
AT1G20693	Os09g0551600
AT5G22740	Os02g0192500
AT5G66930	Os12g0428200
AT4G09830	Os09g0360400
AT4G24880	Os01g0101300
AT3G50670	Os10g0115600
AT5G52420	Os10g0548100
AT1G06070	Os09g0516200
AT3G63480	Os08g0117000
AT5G21080	Os07g0205900
AT4G16340	Os03g0328000
AT3G52660	Os12g0136200
AT3G62330	Os01g0252900
AT4G14180	Os04g0347800
AT2G30330	Os11g0112300
AT4G01595	Os06g0509100
AT3G12290	Os05g0150800
AT2G16790	Os06g0114650
AT5G08540	Os04g0527800
AT3G25060	Os10g0540100
AT4G26555	Os02g0199300
AT5G42120	Os02g0459600
AT3G24560	Os02g0266500
AT1G06690	Os07g0143000
AT2G37130	Os07g0694300
AT2G01110	Os01g0501700
AT1G21650	Os11g0195100
AT3G15990	Os06g0143700
AT5G08300	Os07g0577700
AT5G65950	Os02g0714500
AT2G38570	Os03g0334100
AT1G21840	Os02g0168000
AT1G61150	Os03g0235100
AT5G12240	Os07g0641800
AT2G47620	Os04g0480300
AT1G49050	Os02g0730700
AT1G55350	Os02g0709400
AT3G05170	Os05g0141700
AT1G30970	Os09g0560900
AT5G10910	Os02g0137600
AT3G17930	Os01g0805200
AT2G35190	Os06g0715100
AT5G55220	Os06g0308000
AT1G03190	Os05g0144800
AT1G63900	Os07g0647800
AT5G42050	Os01g0550300
AT5G34940	Os02g0802200
AT4G20070	Os06g0665500
AT1G07840	Os01g0911000
AT1G63160	Os04g0569000
AT1G29380	Os01g0631500
AT1G26900	Os08g0494350
AT1G19240	Os01g0144700
AT5G39960	Os01g0225200
AT1G79390	Os02g0495900
AT4G01730	Os12g0263100
AT1G54140	Os03g0408500
AT4G27340	Os01g0390400
AT1G33360	Os02g0564400
AT3G63430	Os11g0587300
AT4G24830	Os12g0235800
AT2G26810	Os07g0641600
AT3G22250	Os02g0634100
AT2G28840	Os05g0112000
AT2G15230	Os09g0103100
AT3G29320	Os03g0758100
AT4G00420	Os09g0416500
AT3G59980	Os04g0303900
AT1G32120	Os03g0565300
AT3G05040	Os01g0363900
AT5G07030	Os07g0658600
AT5G57370	Os02g0461600
AT5G62790	Os01g0106900
AT4G38240	Os02g0832800
AT5G56590	Os01g0739700
AT1G31350	Os06g0711700
AT5G08320	Os02g0635700
AT1G09760	Os02g0234800
AT5G50170	Os04g0476600
AT2G47600	Os11g0660000
AT4G02405	Os07g0247100
AT4G33495	Os01g0617600
AT1G14610	Os03g0694900
AT2G03380	Os06g0185700
AT3G57560	Os04g0550500
AT2G43940	Os06g0153900
AT1G67190	Os01g0859600
AT2G21290	Os09g0528100
AT5G20270	Os06g0643700
AT5G22260	Os09g0449000
AT5G60700	Os02g0806500
AT1G11860	Os04g0623800
AT2G04850	Os03g0194300
AT5G14590	Os04g0508200
AT4G33420	Os08g0113000
AT1G66150	Os03g0717000
AT3G20720	Os04g0628600
AT1G26840	Os07g0628600
AT1G13710	Os03g0417700
AT4G00650	Os03g0851400
AT3G52150	Os09g0279500
AT4G10920	Os01g0706000
AT3G51320	Os05g0107000
AT5G09550	Os03g0277000
AT5G60580	Os06g0677300
AT4G31210	Os06g0281400
AT4G04180	Os02g0740300
AT2G02980	Os03g0795200
AT2G47450	Os03g0131900
AT2G28900	Os05g0111200
AT1G17650	Os01g0574600
AT5G40850	Os01g0631200
AT1G47530	Os08g0550200
AT1G16070	Os02g0179400
AT3G62260	Os01g0295700
AT4G31805	Os02g0795200
AT1G78280	Os03g0389900
AT2G28160	Os04g0381700
AT1G51610	Os04g0298200
AT1G59840	Os04g0650500
AT4G19830	Os02g0168700
AT3G05990	Os05g0393100
AT2G33435	Os03g0138100
AT4G36945	Os08g0103500
AT5G60720	Os03g0859900
AT5G26030	Os09g0297000
AT5G52840	Os03g0313000
AT2G29640	Os03g0265200
AT4G22600	Os02g0661300
AT5G16510	Os04g0660400
AT5G18540	Os07g0669600
AT4G02425	Os01g0316500
AT1G43245	Os04g0423600
AT3G21430	Os01g0193900
AT2G32415	Os07g0513100
AT1G44970	Os01g0263000
AT4G00060	Os06g0669275
AT5G62220	Os06g0342000
AT1G67440	Os04g0381600
AT5G55250	Os04g0665200
AT4G33870	Os01g0712800
AT3G07630	Os07g0694600
AT1G62350	Os03g0297700
AT2G32760	Os06g0715000
AT1G17450	Os02g0633100
AT2G26580	Os03g0650000
AT2G35155	Os08g0407200
AT1G31300	Os03g0666700
AT4G02070	Os09g0407600
AT5G52950	Os01g0222300
AT4G34700	Os06g0714100
AT1G53200	Os06g0244100
AT3G56570	Os01g0879500
AT3G62770	Os01g0934000
AT3G21630	Os08g0538300
AT5G57500	Os02g0785000
AT3G25900	Os03g0221200
AT1G69220	Os03g0755000
AT3G22200	Os04g0614600
AT5G06830	Os06g0320100
AT2G26700	Os01g0174700
AT2G38320	Os03g0817500
AT5G14360	Os02g0597700
AT1G60560	Os09g0309100
AT4G37090	Os02g0186700
AT1G69200	Os03g0602600
AT5G54880	Os03g0568600
AT3G12530	Os01g0248600
AT2G44610	Os07g0496000
AT3G58830	Os01g0796500
AT4G15720	Os12g0163600
AT3G25920	Os03g0219900
AT4G23540	Os01g0957900
AT3G01435	Os02g0189100
AT3G49080	Os07g0658200
AT2G01755	Os03g0713200
AT5G42890	Os06g0211300
AT1G08220	Os05g0176500
AT2G46140	Os05g0584200
AT2G04940	Os04g0599400
AT2G48110	Os07g0211200
AT4G36050	Os09g0536000
AT1G30440	Os12g0613250
AT5G19730	Os01g0743200
AT1G27990	Os04g0386700
AT4G16370	Os03g0751100
AT4G00450	Os07g0648266
AT2G43465	Os11g0265500
AT3G43540	Os09g0436900
AT4G29080	Os06g0335500
AT2G06010	Os04g0446200
AT4G05530	Os09g0133200
AT3G02720	Os04g0671700
AT5G01830	Os05g0476700
AT5G40670	Os12g0278700
AT3G53360	Os06g0506100
AT2G30410	Os02g0816500
AT1G77122	Os04g0438300
AT5G44635	Os05g0235800
AT1G48140	Os02g0749450
AT1G17870	Os03g0729000
AT1G04910	Os11g0481200
AT5G24340	Os07g0452400
AT4G28088	Os09g0558100
AT3G15140	Os06g0353400
AT1G58440	Os03g0231800
AT3G10110	Os03g0296300
AT5G49930	Os12g0564600
AT5G05970	Os09g0267500
AT5G26180	Os02g0217800
AT4G10950	Os02g0290900
AT3G17310	Os05g0133900
AT1G64530	Os01g0236700
AT5G27830	Os02g0592500
AT3G52120	Os09g0281600
AT3G20810	Os09g0489200
AT1G65030	Os12g0615900
AT4G00620	Os02g0120900
AT4G31460	Os07g0544900
AT5G02270	Os03g0316900
AT5G16880	Os02g0697300
AT3G29034	Os04g0460350
AT1G36320	Os02g0291500
AT5G56360	Os01g0276800
AT1G54490	Os03g0794800
AT2G39370	Os01g0836900
AT5G59180	Os05g0400700
AT3G52960	Os06g0625500
AT5G40820	Os06g0724700
AT1G01040	Os03g0121800
AT1G42480	Os02g0117200
AT1G17620	Os05g0199100
AT2G47420	Os10g0183900
AT5G34850	Os06g0643900
AT5G23630	Os05g0402800
AT1G70200	Os02g0326200
AT3G13880	Os01g0959600
AT2G21720	Os03g0157700
AT3G02700	Os05g0310600
AT5G37290	Os11g0546200
AT1G78590	Os09g0345700
AT2G05590	Os07g0438700
AT5G15710	Os04g0668600
AT5G49480	Os03g0310800
AT5G25150	Os06g0649500
AT5G65840	Os03g0729200
AT2G20980	Os09g0539400
AT5G51280	Os06g0697200
AT1G75170	Os03g0724100
AT3G59630	Os11g0265600
AT5G60750	Os06g0505400
AT4G33060	Os01g0582400
AT2G39550	Os01g0150100
AT4G35760	Os03g0131500
AT3G51895	Os03g0161200
AT5G23530	Os11g0240600
AT1G02870	Os05g0367100
AT1G16280	Os07g0633500
AT2G38470	Os01g0826400
AT5G41970	Os02g0686600
AT1G02145	Os04g0544900
AT4G14746	Os11g0582000
AT5G13220	Os04g0395800
AT1G09130	Os03g0344900
AT3G08490	Os03g0216500
AT3G09050	Os01g0853000
AT4G31390	Os11g0216300
AT5G13010	Os07g0508000
AT3G02680	Os10g0487300
AT5G28050	Os07g0245100
AT3G51820	Os05g0349700
AT5G66530	Os09g0327400
AT4G08290	Os10g0210500
AT3G59530	Os03g0263600
AT3G16200	Os01g0496900
AT3G26115	Os01g0695600
AT1G72480	Os09g0439700
AT5G15300	Os03g0168550
AT3G44330	Os08g0102100
AT1G60000	Os02g0815200
AT4G11650	Os03g0663500
AT2G39650	Os01g0973600
AT2G31740	Os04g0379300
AT1G13570	Os07g0459500
AT3G47840	Os05g0581300
AT1G28680	Os06g0155500
AT3G18170	Os03g0567600
AT5G44110	Os02g0810300
AT2G04350	Os05g0317200
AT1G11360	Os01g0783500
AT5G48380	Os05g0414700
AT5G02130	Os05g0457700
AT2G32080	Os01g0260700
AT4G01995	Os05g0131100
AT1G78690	Os04g0667000
AT3G53490	Os03g0282800
AT3G63530	Os03g0173900
AT4G22550	Os02g0661800
AT5G20080	Os01g0174300
AT4G16420	Os03g0750800
AT5G57450	Os02g0562100
AT5G40570	Os04g0480400
AT3G16010	Os02g0266200
AT1G74640	Os09g0413700
AT3G17580	Os01g0288200
AT1G62940	Os04g0310800
AT5G15320	Os04g0117100
AT4G01900	Os05g0133100
AT3G51670	Os05g0345100
AT3G56940	Os01g0279100
AT1G68130	Os09g0449400
AT4G08810	Os07g0633600
AT3G48250	Os01g0970900
AT1G49560	Os03g0764600
AT1G78140	Os08g0411200
AT3G51800	Os05g0350500
AT1G73740	Os01g0516700
AT5G19950	Os01g0178100
AT4G20360	Os02g0595700
AT4G03150	Os12g0534100
AT4G30150	Os03g0203100
AT2G38710	Os10g0573100
AT5G57620	Os02g0786400
AT4G17070	Os03g0100300
AT2G36740	Os08g0192400
AT2G44510	Os03g0853900
AT4G16650	Os04g0551300
AT2G45010	Os03g0101800
AT5G54770	Os07g0529600
AT2G42920	Os03g0635000
AT4G33520	Os08g0486100
AT1G79890	Os05g0219800
AT3G12630	Os09g0486500
AT4G11400	Os04g0166400
AT5G53800	Os04g0530300
AT1G29880	Os08g0538000
AT3G28450	Os04g0487200
AT4G13020	Os03g0847600
AT3G29090	Os10g0407000
AT5G49810	Os05g0105000
AT5G53670	Os02g0591000
AT3G56820	Os01g0810200
AT5G61530	Os07g0486500
AT4G36390	Os11g0592800
AT3G54010	Os03g0367000
AT3G20930	Os02g0730800
AT1G55850	Os09g0478100
AT3G05345	Os05g0397800
AT5G09450	Os04g0450200
AT3G55510	Os12g0163200
AT3G06483	Os07g0637300
AT5G57870	Os02g0611500
AT5G40153	Os08g0112950
AT1G71110	Os01g0121300
AT2G43320	Os04g0492400
AT2G26680	Os03g0566600
AT5G11770	Os05g0533700
AT5G04040	Os01g0762000
AT4G34310	Os03g0185500
AT2G30880	Os03g0666200
AT3G07530	Os03g0243200
AT5G37480	Os03g0748600
AT2G37240	Os03g0284600
AT4G38180	Os03g0655600
AT1G31850	Os04g0218400
AT2G45200	Os02g0126800
AT4G20280	Os01g0680400
AT1G60660	Os08g0386300
AT4G33500	Os10g0370000
AT2G42160	Os04g0648500
AT4G11420	Os01g0120800
AT4G10340	Os11g0242800
AT3G21530	Os07g0645500
AT1G02060	Os02g0121900
AT2G40170	Os05g0349800
AT2G26310	Os02g0778500
AT5G41190	Os02g0114700
AT1G80840	Os09g0417600
AT3G20480	Os07g0102000
AT2G42900	Os05g0582000
AT1G21730	Os04g0434600
AT5G18440	Os01g0814000
AT3G57050	Os06g0175800
AT3G11220	Os06g0639600
AT4G17140	Os10g0565300
AT1G51510	Os05g0140500
AT3G51850	Os01g0832300
AT4G03960	Os09g0135700
AT1G80950	Os05g0357800
AT3G48200	Os05g0594500
AT3G09210	Os03g0825500
AT3G08860	Os03g0338000
AT3G17205	Os05g0159000
AT3G27110	Os01g0970700
AT5G37680	Os02g0732500
AT5G24840	Os06g0236900
AT5G64150	Os12g0612500
AT3G22942	Os03g0635100
AT1G68080	Os03g0238700
AT5G13250	Os04g0396500
AT4G03100	Os12g0533400
AT4G32190	Os02g0186400
AT5G26240	Os03g0695700
AT5G19900	Os02g0832600
AT5G14140	Os11g0498400
AT5G51690	Os06g0130400
AT3G17810	Os02g0736400
AT5G10830	Os01g0716500
AT3G04970	Os03g0363900
AT3G20680	Os05g0500400
AT1G10170	Os06g0252300
AT4G16060	Os05g0358400
AT2G29540	Os12g0194700
AT5G16610	Os03g0221300
AT1G22860	Os05g0104100
AT1G31940	Os02g0697700
AT5G11260	Os06g0601500
AT1G17370	Os11g0620100
AT1G60460	Os06g0708200
AT1G15200	Os03g0701900
AT5G51070	Os02g0526400
AT1G15220	Os02g0275100
AT5G27740	Os03g0792600
AT3G23240	Os03g0860100
AT5G51140	Os02g0512300
AT1G24030	Os09g0375600
AT4G06599	Os01g0875400
AT3G16250	Os07g0489800
AT4G15930	Os01g0256400
AT1G25530	Os04g0462400
AT1G50910	Os09g0504900
AT4G11600	Os02g0664000
AT3G57660	Os06g0612200
AT4G12230	Os10g0169800
AT3G13275	Os09g0480100
AT2G26930	Os01g0802100
AT4G23440	Os01g0760400
AT5G57420	Os04g0653300
AT4G16450	Os08g0431500
AT1G10040	Os03g0726800
AT2G17980	Os03g0620800
AT1G30540	Os09g0133700
AT4G03120	Os02g0266100
AT1G35510	Os12g0174100
AT5G01740	Os05g0342100
AT2G03510	Os03g0421400
AT5G47120	Os02g0125300
AT5G09650	Os02g0768600
AT5G54260	Os04g0635900
AT4G00550	Os03g0214400
AT3G09890	Os03g0145800
AT1G34220	Os08g0175200
AT5G35690	Os08g0500800
AT2G36910	Os08g0564300
AT5G19840	Os01g0773200
AT5G16260	Os04g0496400
AT4G05430	Os07g0149900
AT2G25620	Os06g0597200
AT4G11060	Os05g0509700
AT4G16695	Os03g0102000
AT3G57000	Os02g0290400
AT1G79460	Os04g0611800
AT1G02420	Os03g0208600
AT2G38820	Os03g0162500
AT3G03740	Os03g0792500
AT2G35540	Os06g0111700
AT2G34040	Os02g0313400
AT1G03540	Os06g0611200
AT1G22140	Os03g0385301
AT5G09420	Os02g0754500
AT1G62850	Os03g0249200
AT3G09660	Os05g0464100
AT1G08315	Os01g0956075
AT3G53140	Os02g0823400
AT4G31560	Os01g0940600
AT2G19560	Os09g0386400
AT1G12840	Os05g0593100
AT1G31800	Os02g0817900
AT5G11380	Os06g0142900
AT5G49720	Os03g0329500
AT1G48360	Os06g0171800
AT1G19835	Os10g0162400
AT4G07990	Os03g0728100
AT1G64430	Os08g0332700
AT1G20060	Os02g0101800
AT1G55090	Os07g0167100
AT3G03330	Os11g0265400
AT5G06740	Os04g0584100
AT5G08710	Os11g0545800
AT5G49700	Os09g0464300
AT4G28200	Os02g0103900
AT5G09400	Os04g0610700
AT2G47520	Os01g0313300
AT4G02280	Os03g0340500
AT3G08690	Os01g0819400
AT2G38800	Os05g0381700
AT5G49580	Os03g0832900
AT1G02400	Os01g0332200
AT5G22510	Os02g0529400
AT1G28480	Os01g0667900
AT1G55670	Os09g0481200
AT4G30100	Os10g0118900
AT1G79050	Os03g0639700
